order_id,date,region,category,channel,units,unit_price,discount_pct,revenue,profit,customer_rating,month,week
10000,2025-01-01,North,Electronics,Online,1,19737.64,0.063,24128.83,4364.69,3.63,2025-01,2024-12-30/2025-01-05
10001,2025-01-01,North,Electronics,Online,1,9825.25,0.059,12061.89,2294.97,3.14,2025-01,2024-12-30/2025-01-05
10002,2025-01-01,North,Electronics,Online,1,15202.58,0.062,18602.0,3078.93,4.38,2025-01,2024-12-30/2025-01-05
10003,2025-01-01,North,Electronics,Online,1,13194.88,0.073,15953.89,2965.04,4.16,2025-01,2024-12-30/2025-01-05
10004,2025-01-01,North,Electronics,Online,6,15626.59,0.087,111720.23,21806.39,4.35,2025-01,2024-12-30/2025-01-05
10005,2025-01-01,North,Clothing,Online,1,804.18,0.09,954.29,310.02,3.29,2025-01,2024-12-30/2025-01-05
10006,2025-01-01,North,Clothing,Store,1,1421.94,0.005,1845.94,693.0,3.98,2025-01,2024-12-30/2025-01-05
10007,2025-01-01,North,Grocery,Online,3,298.75,0.049,1112.01,139.13,3.97,2025-01,2024-12-30/2025-01-05
10008,2025-01-01,North,Grocery,Online,1,247.85,0.068,301.32,33.32,3.98,2025-01,2024-12-30/2025-01-05
10009,2025-01-01,North,Home & Kitchen,Online,1,2658.5,0.107,3095.28,722.32,4.13,2025-01,2024-12-30/2025-01-05
10010,2025-01-01,North,Home & Kitchen,Online,1,3538.5,0.068,4300.91,1006.38,3.41,2025-01,2024-12-30/2025-01-05
10011,2025-01-01,North,Home & Kitchen,Online,1,2768.69,0.075,3340.23,737.61,4.16,2025-01,2024-12-30/2025-01-05
10012,2025-01-01,North,Home & Kitchen,Online,1,1661.2,0.082,1989.72,398.47,4.99,2025-01,2024-12-30/2025-01-05
10013,2025-01-01,North,Home & Kitchen,Online,1,2662.8,0.114,3076.58,641.33,4.3,2025-01,2024-12-30/2025-01-05
10014,2025-01-01,North,Home & Kitchen,Store,1,3738.53,0.033,4715.94,1074.35,3.9,2025-01,2024-12-30/2025-01-05
10015,2025-01-01,North,Home & Kitchen,Store,1,2021.7,0.002,2630.88,629.35,4.72,2025-01,2024-12-30/2025-01-05
10016,2025-01-01,North,Home & Kitchen,Store,1,3444.9,0.037,4328.31,957.87,4.62,2025-01,2024-12-30/2025-01-05
10017,2025-01-01,South,Electronics,Online,4,10679.88,0.088,50849.65,9412.94,4.14,2025-01,2024-12-30/2025-01-05
10018,2025-01-01,South,Electronics,Online,2,15678.86,0.044,39094.88,7335.7,4.26,2025-01,2024-12-30/2025-01-05
10019,2025-01-01,South,Electronics,Online,3,12746.46,0.105,44661.56,7385.79,4.76,2025-01,2024-12-30/2025-01-05
10020,2025-01-01,South,Electronics,Store,1,17636.02,0.022,22498.24,3802.85,5.0,2025-01,2024-12-30/2025-01-05
10021,2025-01-01,South,Clothing,Online,1,1320.62,0.076,1591.31,608.94,4.3,2025-01,2024-12-30/2025-01-05
10022,2025-01-01,South,Clothing,Online,1,821.29,0.101,962.82,350.2,4.04,2025-01,2024-12-30/2025-01-05
10023,2025-01-01,South,Clothing,Store,2,914.26,0.001,2382.32,799.39,4.65,2025-01,2024-12-30/2025-01-05
10024,2025-01-01,South,Grocery,Online,1,220.88,0.026,280.54,34.28,4.14,2025-01,2024-12-30/2025-01-05
10025,2025-01-01,South,Grocery,Online,2,253.86,0.096,598.4,65.85,3.49,2025-01,2024-12-30/2025-01-05
10026,2025-01-01,South,Grocery,Online,2,378.64,0.08,908.37,105.14,4.18,2025-01,2024-12-30/2025-01-05
10027,2025-01-01,South,Grocery,Online,1,202.45,0.057,249.08,27.94,4.66,2025-01,2024-12-30/2025-01-05
10028,2025-01-01,South,Grocery,Online,1,355.93,0.091,421.9,51.76,4.66,2025-01,2024-12-30/2025-01-05
10029,2025-01-01,South,Grocery,Online,1,326.01,0.073,394.28,43.51,4.75,2025-01,2024-12-30/2025-01-05
10030,2025-01-01,South,Grocery,Online,1,234.85,0.126,267.66,29.2,4.53,2025-01,2024-12-30/2025-01-05
10031,2025-01-01,South,Grocery,Online,1,319.79,0.074,386.32,47.15,4.02,2025-01,2024-12-30/2025-01-05
10032,2025-01-01,South,Grocery,Online,1,345.16,0.101,404.96,47.49,4.03,2025-01,2024-12-30/2025-01-05
10033,2025-01-01,South,Grocery,Online,3,237.51,0.061,872.48,108.82,3.86,2025-01,2024-12-30/2025-01-05
10034,2025-01-01,South,Grocery,Online,1,298.77,0.097,352.11,44.85,3.72,2025-01,2024-12-30/2025-01-05
10035,2025-01-01,South,Grocery,Store,2,236.94,0.018,607.18,78.73,4.2,2025-01,2024-12-30/2025-01-05
10036,2025-01-01,South,Grocery,Store,1,290.92,0.022,371.2,48.55,3.85,2025-01,2024-12-30/2025-01-05
10037,2025-01-01,South,Grocery,Store,1,200.91,0.066,244.74,30.85,3.62,2025-01,2024-12-30/2025-01-05
10038,2025-01-01,South,Home & Kitchen,Online,1,3643.05,0.092,4313.22,971.34,3.77,2025-01,2024-12-30/2025-01-05
10039,2025-01-01,South,Home & Kitchen,Online,1,3698.03,0.037,4647.64,1086.45,3.44,2025-01,2024-12-30/2025-01-05
10040,2025-01-01,South,Home & Kitchen,Online,4,4256.03,0.079,20443.59,4058.04,3.6,2025-01,2024-12-30/2025-01-05
10041,2025-01-01,South,Home & Kitchen,Online,1,3616.69,0.077,4355.85,917.22,4.16,2025-01,2024-12-30/2025-01-05
10042,2025-01-01,South,Home & Kitchen,Store,1,3043.48,0.074,3678.2,801.85,4.48,2025-01,2024-12-30/2025-01-05
10043,2025-01-01,South,Home & Kitchen,Store,1,3781.05,0.005,4908.57,1072.04,3.86,2025-01,2024-12-30/2025-01-05
10044,2025-01-01,South,Home & Kitchen,Store,3,3289.98,0.003,12835.86,3055.97,4.3,2025-01,2024-12-30/2025-01-05
10045,2025-01-01,East,Electronics,Online,1,14779.17,0.077,17802.98,3149.94,4.5,2025-01,2024-12-30/2025-01-05
10046,2025-01-01,East,Electronics,Online,14,14674.11,0.08,246507.08,46758.34,4.02,2025-01,2024-12-30/2025-01-05
10047,2025-01-01,East,Electronics,Online,2,14060.93,0.034,35437.87,5885.81,4.51,2025-01,2024-12-30/2025-01-05
10048,2025-01-01,East,Electronics,Online,3,15727.0,0.142,52817.79,10223.39,4.7,2025-01,2024-12-30/2025-01-05
10049,2025-01-01,East,Electronics,Online,1,11938.85,0.112,13833.51,2436.37,3.3,2025-01,2024-12-30/2025-01-05
10050,2025-01-01,East,Electronics,Online,2,17658.19,0.129,40132.93,7747.46,3.45,2025-01,2024-12-30/2025-01-05
10051,2025-01-01,East,Electronics,Online,7,14955.85,0.018,134111.71,24784.17,3.96,2025-01,2024-12-30/2025-01-05
10052,2025-01-01,East,Electronics,Store,1,11696.24,0.0,15250.93,2576.22,4.3,2025-01,2024-12-30/2025-01-05
10053,2025-01-01,East,Clothing,Online,1,1060.24,0.139,1190.9,378.41,4.01,2025-01,2024-12-30/2025-01-05
10054,2025-01-01,East,Clothing,Store,1,1144.76,0.014,1473.03,513.96,3.61,2025-01,2024-12-30/2025-01-05
10055,2025-01-01,East,Clothing,Store,1,1541.72,0.056,1899.43,717.35,3.7,2025-01,2024-12-30/2025-01-05
10056,2025-01-01,East,Grocery,Online,1,204.62,0.048,254.06,29.44,3.74,2025-01,2024-12-30/2025-01-05
10057,2025-01-01,East,Grocery,Online,1,249.52,0.151,276.27,34.78,4.41,2025-01,2024-12-30/2025-01-05
10058,2025-01-01,East,Grocery,Online,1,197.46,0.023,251.77,33.15,4.38,2025-01,2024-12-30/2025-01-05
10059,2025-01-01,East,Grocery,Store,1,227.09,0.031,286.91,33.81,3.77,2025-01,2024-12-30/2025-01-05
10060,2025-01-01,East,Grocery,Store,1,264.24,0.045,329.17,42.89,3.71,2025-01,2024-12-30/2025-01-05
10061,2025-01-01,East,Home & Kitchen,Online,1,3038.47,0.034,3827.77,855.79,4.32,2025-01,2024-12-30/2025-01-05
10062,2025-01-01,East,Home & Kitchen,Online,1,3037.92,0.062,3717.43,847.52,4.3,2025-01,2024-12-30/2025-01-05
10063,2025-01-01,East,Home & Kitchen,Online,1,2362.48,0.085,2819.57,580.76,4.04,2025-01,2024-12-30/2025-01-05
10064,2025-01-01,East,Home & Kitchen,Online,1,3203.54,0.062,3919.15,804.21,4.24,2025-01,2024-12-30/2025-01-05
10065,2025-01-01,East,Home & Kitchen,Store,1,2739.18,0.022,3492.81,749.51,4.62,2025-01,2024-12-30/2025-01-05
10066,2025-01-01,West,Electronics,Online,1,14282.46,0.036,17967.07,3000.75,4.46,2025-01,2024-12-30/2025-01-05
10067,2025-01-01,West,Electronics,Online,2,16528.13,0.066,40265.65,6883.24,3.66,2025-01,2024-12-30/2025-01-05
10068,2025-01-01,West,Electronics,Online,3,19529.31,0.072,70931.18,13526.76,3.61,2025-01,2024-12-30/2025-01-05
10069,2025-01-01,West,Electronics,Online,1,13717.78,0.092,16241.0,2778.26,4.75,2025-01,2024-12-30/2025-01-05
10070,2025-01-01,West,Electronics,Store,5,15511.78,0.038,97288.72,17532.59,3.65,2025-01,2024-12-30/2025-01-05
10071,2025-01-01,West,Clothing,Online,1,1347.57,0.136,1517.99,523.23,4.54,2025-01,2024-12-30/2025-01-05
10072,2025-01-01,West,Clothing,Store,1,1473.55,0.062,1802.78,568.46,3.87,2025-01,2024-12-30/2025-01-05
10073,2025-01-01,West,Clothing,Store,1,786.29,0.068,955.84,331.35,3.77,2025-01,2024-12-30/2025-01-05
10074,2025-01-01,West,Clothing,Store,1,824.21,0.054,1016.97,346.14,4.04,2025-01,2024-12-30/2025-01-05
10075,2025-01-01,West,Clothing,Store,1,1481.64,0.03,1874.74,668.68,4.16,2025-01,2024-12-30/2025-01-05
10076,2025-01-01,West,Grocery,Online,1,404.2,0.072,489.12,58.98,4.6,2025-01,2024-12-30/2025-01-05
10077,2025-01-01,West,Grocery,Online,1,179.35,0.038,225.12,27.79,3.69,2025-01,2024-12-30/2025-01-05
